"organisation","category","type"
5010,22,0
5010,24,0
5010,25,0
5010,26,0
5010,36,0
5010,40,0
5010,41,0
5010,43,0
5010,45,0
5010,64,0
5010,67,0
5010,68,0
5010,69,0
5010,70,0
5010,71,0
5010,72,0
5010,73,0
5010,75,0
5010,78,0
5010,79,0
5010,81,0
5010,83,0
5010,86,0
5010,87,0
5010,89,0
5010,90,0
5010,91,0
5010,98,0
5010,107,0
5010,108,0
5010,109,0
5010,110,0
5010,113,0
5010,116,0
5010,117,0
5010,118,0
5010,120,0
5010,124,0
5010,149,0
5010,155,0
5010,162,0
5010,167,0
5010,168,0
5010,169,0
5010,170,0
5010,171,0
5010,172,0
5010,174,0
5011,22,0
5011,24,0
5011,25,0
5011,26,0
5011,36,0
5011,40,0
5011,41,0
5011,43,0
5011,45,0
5011,64,0
5011,67,0
5011,68,0
5011,69,0
5011,70,0
5011,71,0
5011,72,0
5011,73,0
5011,75,0
5011,78,0
5011,79,0
5011,81,0
5011,83,0
5011,86,0
5011,87,0
5011,89,0
5011,90,0
5011,91,0
5011,98,0
5011,107,0
5011,108,0
5011,109,0
5011,110,0
5011,113,0
5011,116,0
5011,117,0
5011,118,0
5011,120,0
5011,124,0
5011,149,0
5011,155,0
5011,162,0
5011,167,0
5011,168,0
5011,169,0
5011,170,0
5011,171,0
5011,172,0
5011,174,0
5012,22,0
5012,24,0
5012,25,0
5012,26,0
5012,36,0
5012,40,0
5012,41,0
5012,43,0
5012,45,0
5012,64,0
5012,67,0
5012,68,0
5012,69,0
5012,70,0
5012,71,0
5012,72,0
5012,73,0
5012,75,0
5012,78,0
5012,79,0
5012,81,0
5012,83,0
5012,86,0
5012,87,0
5012,89,0
5012,90,0
5012,91,0
5012,98,0
5012,107,0
5012,108,0
5012,109,0
5012,110,0
5012,113,0
5012,116,0
5012,117,0
5012,118,0
5012,120,0
5012,124,0
5012,149,0
5012,155,0
5012,162,0
5012,167,0
5012,168,0
5012,169,0
5012,170,0
5012,171,0
5012,172,0
5012,174,0
5013,22,0
5013,24,0
5013,25,0
5013,26,0
5013,36,0
5013,40,0
5013,41,0
5013,43,0
5013,45,0
5013,64,0
5013,67,0
5013,68,0
5013,69,0
5013,70,0
5013,71,0
5013,72,0
5013,73,0
5013,75,0
5013,78,0
5013,79,0
5013,81,0
5013,83,0
5013,86,0
5013,87,0
5013,89,0
5013,90,0
5013,91,0
5013,98,0
5013,107,0
5013,108,0
5013,109,0
5013,110,0
5013,113,0
5013,116,0
5013,117,0
5013,118,0
5013,120,0
5013,124,0
5013,149,0
5013,155,0
5013,162,0
5013,167,0
5013,168,0
5013,169,0
5013,170,0
5013,171,0
5013,172,0
5013,174,0
5014,22,0
5014,24,0
5014,25,0
5014,26,0
5014,36,0
5014,40,0
5014,41,0
5014,43,0
5014,45,0
5014,64,0
5014,67,0
5014,68,0
5014,69,0
5014,70,0
5014,71,0
5014,72,0
5014,73,0
5014,75,0
5014,78,0
5014,79,0
5014,81,0
5014,83,0
5014,86,0
5014,87,0
5014,89,0
5014,90,0
5014,91,0
5014,98,0
5014,107,0
5014,108,0
5014,109,0
5014,110,0
5014,113,0
5014,116,0
5014,117,0
5014,118,0
5014,120,0
5014,124,0
5014,149,0
5014,155,0
5014,162,0
5014,167,0
5014,168,0
5014,169,0
5014,170,0
5014,171,0
5014,172,0
5014,174,0
